Time [us],Protocol,Packet Length (Layer 3) [Byte]
16044943,TCP,46
16103240,IEC 60870-5 ASDU,292
16103240,IEC 60870-5 ASDU,252
16203278,IEC 60870-5 ASDU,292
16203279,IEC 60870-5 ASDU,252
16303263,IEC 60870-5 ASDU,292
16303264,IEC 60870-5 ASDU,252
16402745,IEC 60870-5 ASDU,292
16402746,IEC 60870-5 ASDU,252
16444755,TCP,46
16503136,IEC 60870-5 ASDU,292
16503136,IEC 60870-5 ASDU,252
16603104,IEC 60870-5 ASDU,292
16603105,IEC 60870-5 ASDU,252
16703002,IEC 60870-5 ASDU,292
16703003,IEC 60870-5 ASDU,252
16803224,IEC 60870-5 ASDU,292
16803226,IEC 60870-5 ASDU,252
16845159,TCP,46
16903117,IEC 60870-5 ASDU,292
16903118,IEC 60870-5 ASDU,252
17002977,IEC 60870-5 ASDU,292
17002978,IEC 60870-5 ASDU,252
17103140,IEC 60870-5 ASDU,292
17103141,IEC 60870-5 ASDU,252
17202615,IEC 60870-5 ASDU,292
17202615,IEC 60870-5 ASDU,252
17244658,TCP,46
17303175,IEC 60870-5 ASDU,292
17303175,IEC 60870-5 ASDU,252
17402574,IEC 60870-5 ASDU,292
17402574,IEC 60870-5 ASDU,252
17503081,IEC 60870-5 ASDU,292
17503083,IEC 60870-5 ASDU,252
17603096,IEC 60870-5 ASDU,292
17603096,IEC 60870-5 ASDU,252
17645254,TCP,46
17712751,IEC 60870-5 ASDU,292
17712752,IEC 60870-5 ASDU,252
17802894,IEC 60870-5 ASDU,292
17802895,IEC 60870-5 ASDU,252
17902938,IEC 60870-5 ASDU,292
17902939,IEC 60870-5 ASDU,252
18003024,IEC 60870-5 ASDU,292
18003025,IEC 60870-5 ASDU,252
18044806,TCP,46
18102341,IEC 60870-5 ASDU,292
18102341,IEC 60870-5 ASDU,252
18202845,IEC 60870-5 ASDU,292
18202846,IEC 60870-5 ASDU,252
18302938,IEC 60870-5 ASDU,292
18302938,IEC 60870-5 ASDU,252
18324498,TCP,46
18334942,IEC 60870-5-104,46
18392782,IEC 60870-5 ASDU,292
18392783,IEC 60870-5 ASDU,252
18464958,TCP,46
18513179,IEC 60870-5 ASDU,292
18513180,IEC 60870-5 ASDU,252
18602371,IEC 60870-5 ASDU,292
18602372,IEC 60870-5 ASDU,252
18703054,IEC 60870-5 ASDU,292
18703055,IEC 60870-5 ASDU,252
18803377,IEC 60870-5 ASDU,292
18803377,IEC 60870-5 ASDU,252
18844832,TCP,46
18902930,IEC 60870-5 ASDU,292
18902931,IEC 60870-5 ASDU,252
19002920,IEC 60870-5 ASDU,292
19002921,IEC 60870-5 ASDU,252
19102635,IEC 60870-5 ASDU,292
19102635,IEC 60870-5 ASDU,252
19203106,IEC 60870-5 ASDU,292
19203107,IEC 60870-5 ASDU,252
19294814,TCP,46
19303006,IEC 60870-5 ASDU,292
19303007,IEC 60870-5 ASDU,252
19412683,IEC 60870-5 ASDU,292
19412683,IEC 60870-5 ASDU,252
19502726,IEC 60870-5 ASDU,292
19502727,IEC 60870-5 ASDU,252
19602733,IEC 60870-5 ASDU,292
19602733,IEC 60870-5 ASDU,252
19645059,TCP,46
19702916,IEC 60870-5 ASDU,292
19702917,IEC 60870-5 ASDU,252
19813157,IEC 60870-5 ASDU,292
19813158,IEC 60870-5 ASDU,252
19902697,IEC 60870-5 ASDU,292
19902698,IEC 60870-5 ASDU,252
20002350,IEC 60870-5 ASDU,292
20002350,IEC 60870-5 ASDU,252
20054583,TCP,46
20102894,IEC 60870-5 ASDU,292
20102895,IEC 60870-5 ASDU,252
20212600,IEC 60870-5 ASDU,292
20212600,IEC 60870-5 ASDU,252
20302525,IEC 60870-5 ASDU,292
20302526,IEC 60870-5 ASDU,252
20402277,IEC 60870-5 ASDU,292
20402277,IEC 60870-5 ASDU,252
20502942,IEC 60870-5 ASDU,292
20502944,IEC 60870-5 ASDU,252
20613050,IEC 60870-5 ASDU,292
20613051,IEC 60870-5 ASDU,252
20702834,IEC 60870-5 ASDU,292
20702835,IEC 60870-5 ASDU,252
20802499,IEC 60870-5 ASDU,292
20802500,IEC 60870-5 ASDU,252
20884627,TCP,46
20892971,IEC 60870-5 ASDU,292
20892972,IEC 60870-5 ASDU,252
21012359,IEC 60870-5 ASDU,292
21012360,IEC 60870-5 ASDU,252
21102858,IEC 60870-5 ASDU,292
21102858,IEC 60870-5 ASDU,252
21202250,IEC 60870-5 ASDU,292
21202251,IEC 60870-5 ASDU,252
21244652,TCP,46
21302859,IEC 60870-5 ASDU,292
21302860,IEC 60870-5 ASDU,252
21412463,IEC 60870-5 ASDU,292
21412477,IEC 60870-5 ASDU,252
21502674,IEC 60870-5 ASDU,292
21502674,IEC 60870-5 ASDU,252
21602129,IEC 60870-5 ASDU,292
21602129,IEC 60870-5 ASDU,252
21644602,TCP,46
21702652,IEC 60870-5 ASDU,292
21702654,IEC 60870-5 ASDU,252
21813017,IEC 60870-5 ASDU,292
21813018,IEC 60870-5 ASDU,252
21902492,IEC 60870-5 ASDU,292
21902492,IEC 60870-5 ASDU,252
22002207,IEC 60870-5 ASDU,292
22002208,IEC 60870-5 ASDU,252
22044234,TCP,46
22102179,IEC 60870-5 ASDU,292
22102179,IEC 60870-5 ASDU,252
22202623,IEC 60870-5 ASDU,292
22202623,IEC 60870-5 ASDU,252
22302509,IEC 60870-5 ASDU,292
22302509,IEC 60870-5 ASDU,252
22402461,IEC 60870-5 ASDU,292
22402462,IEC 60870-5 ASDU,252
22444504,TCP,46
22502460,IEC 60870-5 ASDU,292
22502461,IEC 60870-5 ASDU,252
22602486,IEC 60870-5 ASDU,292
22602487,IEC 60870-5 ASDU,252
22702583,IEC 60870-5 ASDU,292
22702584,IEC 60870-5 ASDU,252
22802271,IEC 60870-5 ASDU,292
22802273,IEC 60870-5 ASDU,252
22844410,TCP,46
22902486,IEC 60870-5 ASDU,292
22902486,IEC 60870-5 ASDU,252
23002471,IEC 60870-5 ASDU,292
23002471,IEC 60870-5 ASDU,252
23102415,IEC 60870-5 ASDU,292
23102417,IEC 60870-5 ASDU,252
23202553,IEC 60870-5 ASDU,292
23202554,IEC 60870-5 ASDU,252
23244491,TCP,46
23302617,IEC 60870-5 ASDU,292
23302618,IEC 60870-5 ASDU,252
23402431,IEC 60870-5 ASDU,292
23402434,IEC 60870-5 ASDU,252
23502588,IEC 60870-5 ASDU,292
23502589,IEC 60870-5 ASDU,252
23602618,IEC 60870-5 ASDU,292
23602619,IEC 60870-5 ASDU,252
23644095,TCP,46
23702556,IEC 60870-5 ASDU,292
23702556,IEC 60870-5 ASDU,252
23802376,IEC 60870-5 ASDU,292
